etz_date,trade_price
2020-06-18,-0.07664692628960701
2020-06-19,0.07245507920733019
2020-06-20,-0.005390416201457526
2020-06-21,4.324321523085928e-07
2020-06-22,0.01608537927008946
2020-06-23,0.021053302813795582
2020-06-24,-0.0046985208014387325
2020-06-25,-0.027050177514217566
2020-06-26,-1.0746958878371515e-12
2020-06-27,-0.02174009652546971
2020-06-28,0.021740096524395014
2020-06-29,-0.01626052086855445
2020-06-30,0.014107667509600574
2020-07-01,-0.008190671982855946
2020-07-02,0.008190671982855946
2020-07-03,-0.025091706224081634
2020-07-04,0.016433643482045568
2020-07-05,-0.027547270206463637
2020-07-06,3.351979280807882e-07
2020-07-07,0.03620499775164987
2020-07-08,0.012848142477848157
2020-07-09,-0.026700745032927742
2020-07-10,0.016004918280552616
2020-07-11,-0.03568224353565341
